Tag;English;Polish
//Main Menu;;
MainMenu_NewGame;New Game;Nowa Gra
MainMenu_Continue;Continue;Kontynuuj
MainMenu_Language;Language;Język
MainMenu_Back;Back;Wróć
//Languages;;
English;English;Angielski
Polish;Polish;Polski
//Players Screen;;
Players_Title;Players;Gracze
Players_SubTitle;How many individuals will be sharing this experience today?;Ile osób będzie dziś dzielić to doświadczenie?
Players_Two;2 Players;2 Graczy
Players_Three;3 Players;3 Graczy
Players_Four;4 Players;4 Graczy
Players_NumTwo;two;dwójka
Players_NumThree;three;trójka
Players_NumFour;four;czwórka
Players_Initial;As siblings of an influential family of Eastern European descent, the <b>{0}</b> of us have received a not-insignificant portion of our family's estate.<br /><br /> Before we begin, let us make this historical fiction more engaging by providing our names.;Jako rodzeństwo wpływowej rodziny pochodzenia wschodnioeuropejskiego, nasza <b>{0}</b> otrzymała niemałą część rodzinnego majątku.<br /><br /> Zanim zaczniemy, uczyńmy tę historyczną fikcję bardziej wciągającą, podając nasze imiona.
Players_NameEntryPass;Carefully pass the storybook to Player {0};Ostrożnie przekaż księgę graczowi {0}
Players_NameEntrySubTitle;Player {0} – Please enter your given name:;Gracz {0} - Podaj swoje imię:
Players_NameEntryPlaceholder;Enter name...;Wprowadź imię...
Players_NameEntryPopUp;The name must be between 2 and 15 characters.;Imię musi zawierać od 2 do 15 znaków.
Players_NameEntryFirst;Welcome to <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Our warmest regards.;Witamy w <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Nasze najserdeczniejsze pozdrowienia.
Players_NameEntrySecond;Welcome to <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Please enjoy your experience.;Witamy w <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Życzymy miłych wrażeń.
Players_NameEntryThird;Welcome to <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />May your name live in infamy.;Witamy w <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Niech twoje imię żyje w niesławie.
Players_NameEntryFourth;Welcome to <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Be sure to leave your mark on the world.;Witamy w <strong>My Father's Work</strong>,<br /><br /><span class=""player-name"">{0}</span><br /><br />Pamiętaj, aby zostawić swój ślad na świecie.
Players_VillageTitle;The Village;Wioska
Players_VillageSubtitle;<p>Now that our given names have been established, we must also search our recollection for the name of the village which our vast estates overlook.<br />Considering the myriad of small towns in the Hungarian countryside, it would be unerringly forward to not allow the group a chance to collectively name the place they will now inhabit.</p><p>Please collectively enter the name of the town in which your inheritance resides.</p>;<p>Teraz, gdy ustaliliśmy już nasze imiona, musimy również przeszukać pamięć pod kątem nazwy wsi, na którą rozciągają się nasze rozległe majątki.<br />Biorąc pod uwagę niezliczoną ilość małych miasteczek na węgierskiej wsi, byłoby nieomylnie nieumyślne nie dać grupie szansy na wspólne nazwanie miejsca, w którym będą teraz mieszkać.</p><p>Prosimy o zbiorowe podanie nazwy miejscowości, w której znajduje się spadek, który odziedziczyliście.</p>
Players_VillagePlaceholder;Enter village name...;Wprowadź nazwę wioski...
Players_VillagePopUp;The village name must be between 2 and 20 characters.;Nazwa wsi musi zawierać od 2 do 20 znaków.
Players_VillageConfirmation;<p>Thank you and please do excuse our forgetfulness.</p><p>Of course, <span class=""""village-name""""><b>{0}</b></span> is an appropriate and fitting moniker for a place to conduct important scientific research.In fact, history will remember this name, mark my words.</p>;<p>Dziękujemy i prosimy o wybaczenie naszej niepamięci.</p><p>Oczywiście, <span class=""""village-name""""><b>{0}</b></span> to odpowiednia i stosowna nazwa dla miejsca, w którym prowadzi się ważne badania naukowe. Historia zapamięta tę nazwę, zapamiętajcie moje słowa.</p>
Players_ScenarioTitle;Scenario;Scenariusz
Players_ScenarioSubtitle;Choose a Scenario for {0} players:;Wybierz scenariusz dla {0} graczy:
Players_ScenarioTheCostOfDisease;The Cost of Disease;Koszt Choroby
Players_ScenarioTheCostOfDisease_Desc;The Yellow Fever had struck the village. Any visit to its somber limits forced the young heirs to keep a cloth handkerchief about their mouth and nostrils to protect themselves from the miasma. This seemed the perfect — if macabre — backdrop in which to advance their father’s dreadful business.;Żółta febra zaatakowała wioskę. Każda wizyta w jej ponurych granicach zmuszała młodych spadkobierców do trzymania chustki na ustach i nozdrzach, aby chronić się przed wyziewami. Wydawało się to idealnym — choć makabrycznym — tłem do rozwijania okropnych interesów ich ojca.
Players_ScenarioFearOfTheUnknown;Fear of the Unknown;Strach Przed Nieznanym
Players_ScenarioFearOfTheUnknown_Desc;The region was rife with superstitious traditions... traditions that did not mix well with the Church's rigid moral compass. Accusations of witchcraft and voodooism erupted with increasing fervor, and the paranoia stifled the heirs' ability to work without interruption.;Region był pełen przesądnych tradycji... tradycji, które nie pasowały do sztywnego moralnego kompasu Kościoła. Oskarżenia o czary i voodooizm wybuchały z coraz większym zapałem, a paranoja tłumiła zdolność spadkobierców do nieprzerwanej pracy.
Players_ScenarioATimeOfWar;A Time of War;Czas Wojny
Players_ScenarioATimeOfWar_Desc;The specter of war haunted the small village. The heirs felt trepidatious yet enthusiastic as they began to realize the potential boon that warfare could provide for their research. Perhaps contributing to the resolution of the conflict could aid them in furthering their scientific endeavors.;Widmo wojny nawiedzało małą wioskę. Spadkobiercy byli niespokojni, ale pełni entuzjazmu, gdy zaczęli zdawać sobie sprawę z potencjalnych korzyści, jakie wojna może zapewnić ich badaniom. Być może przyczynienie się do rozwiązania konfliktu mogłoby pomóc im w dalszym rozwijaniu ich naukowych wysiłków.
Players_ScenarioLanguageTitle;Scenario Language;Język scenariusza
Players_ScenarioLanguageSubtitle;Please select the language in which the scenario will be presented.;Proszę wybrać język, w którym będzie prezentowany scenariusz.
//Scenario Settings;;
ScenarioLang_English_Source;English - Source;Angielski - Źródłowy
ScenarioLang_English_Simple;English - Simple;Angielski - Prostrzy
ScenarioLang_English_Short;English - Short;Angielski - Krótszy